Start,Finish,Steps (count)
2/16/15 0:00,2/17/15 0:00,674
2/17/15 0:00,2/18/15 0:00,5145
2/18/15 0:00,2/19/15 0:00,5580
2/19/15 0:00,2/20/15 0:00,9864
2/20/15 0:00,2/21/15 0:00,17547
2/21/15 0:00,2/22/15 0:00,4792
2/22/15 0:00,2/23/15 0:00,6207
2/23/15 0:00,2/24/15 0:00,3848
2/24/15 0:00,2/25/15 0:00,4936
2/25/15 0:00,2/26/15 0:00,2209
2/26/15 0:00,2/27/15 0:00,6458
2/27/15 0:00,2/28/15 0:00,8922
2/28/15 0:00,3/1/15 0:00,1670
3/1/15 0:00,3/2/15 0:00,6454
3/2/15 0:00,3/3/15 0:00,3925
3/3/15 0:00,3/4/15 0:00,4479
3/4/15 0:00,3/5/15 0:00,4852
3/5/15 0:00,3/6/15 0:00,5782
3/6/15 0:00,3/7/15 0:00,7314
3/7/15 0:00,3/8/15 0:00,452
3/8/15 0:00,3/9/15 0:00,2952
3/9/15 0:00,3/10/15 0:00,10440
3/10/15 0:00,3/11/15 0:00,7194
3/11/15 0:00,3/12/15 0:00,7678
3/12/15 0:00,3/13/15 0:00,6190
3/13/15 0:00,3/14/15 0:00,6852
3/14/15 0:00,3/15/15 0:00,12430
3/15/15 0:00,3/16/15 0:00,8016
3/16/15 0:00,3/17/15 0:00,6501
3/17/15 0:00,3/18/15 0:00,3002
3/18/15 0:00,3/19/15 0:00,6723
3/19/15 0:00,3/20/15 0:00,9751
3/20/15 0:00,3/21/15 0:00,5485
3/21/15 0:00,3/22/15 0:00,5224
3/22/15 0:00,3/23/15 0:00,7446
3/23/15 0:00,3/24/15 0:00,6442
3/24/15 0:00,3/25/15 0:00,12753
3/25/15 0:00,3/26/15 0:00,10748
3/26/15 0:00,3/27/15 0:00,7201
3/27/15 0:00,3/28/15 0:00,13977
3/28/15 0:00,3/29/15 0:00,6261
3/29/15 0:00,3/30/15 0:00,11973
3/30/15 0:00,3/31/15 0:00,6115
3/31/15 0:00,4/1/15 0:00,11191
4/1/15 0:00,4/2/15 0:00,5120
4/2/15 0:00,4/3/15 0:00,6281
4/3/15 0:00,4/4/15 0:00,6599
4/4/15 0:00,4/5/15 0:00,11388
4/5/15 0:00,4/6/15 0:00,8472
4/6/15 0:00,4/7/15 0:00,6704
4/7/15 0:00,4/8/15 0:00,4572
4/8/15 0:00,4/9/15 0:00,3267
4/9/15 0:00,4/10/15 0:00,6386
4/10/15 0:00,4/11/15 0:00,9262
4/11/15 0:00,4/12/15 0:00,12848
4/12/15 0:00,4/13/15 0:00,6174
4/13/15 0:00,4/14/15 0:00,5951
4/14/15 0:00,4/15/15 0:00,10321
4/15/15 0:00,4/16/15 0:00,7992
4/16/15 0:00,4/17/15 0:00,8900
4/17/15 0:00,4/18/15 0:00,18826
4/18/15 0:00,4/19/15 0:00,9775
4/19/15 0:00,4/20/15 0:00,4896
4/20/15 0:00,4/21/15 0:00,9334
4/21/15 0:00,4/22/15 0:00,4937
4/22/15 0:00,4/23/15 0:00,11374
4/23/15 0:00,4/24/15 0:00,9434
4/24/15 0:00,4/25/15 0:00,5533
4/25/15 0:00,4/26/15 0:00,12196
4/26/15 0:00,4/27/15 0:00,5579
4/27/15 0:00,4/28/15 0:00,11681
4/28/15 0:00,4/29/15 0:00,9749
4/29/15 0:00,4/30/15 0:00,7518
4/30/15 0:00,5/1/15 0:00,7716
5/1/15 0:00,5/2/15 0:00,25899
5/2/15 0:00,5/3/15 0:00,22085
5/3/15 0:00,5/4/15 0:00,7379
5/4/15 0:00,5/5/15 0:00,12656
5/5/15 0:00,5/6/15 0:00,7553
5/6/15 0:00,5/7/15 0:00,6593
5/7/15 0:00,5/8/15 0:00,6166
5/8/15 0:00,5/9/15 0:00,14681
5/9/15 0:00,5/10/15 0:00,7571
5/10/15 0:00,5/11/15 0:00,11548
5/11/15 0:00,5/12/15 0:00,13160
5/12/15 0:00,5/13/15 0:00,7199
5/13/15 0:00,5/14/15 0:00,7669.136544
5/14/15 0:00,5/15/15 0:00,6390.863456
5/15/15 0:00,5/16/15 0:00,18046
5/16/15 0:00,5/17/15 0:00,14417
5/17/15 0:00,5/18/15 0:00,6730
5/18/15 0:00,5/19/15 0:00,11762
5/19/15 0:00,5/20/15 0:00,6256
5/20/15 0:00,5/21/15 0:00,10959
5/21/15 0:00,5/22/15 0:00,15308
5/22/15 0:00,5/23/15 0:00,15812
5/23/15 0:00,5/24/15 0:00,12515
5/24/15 0:00,5/25/15 0:00,12723
5/25/15 0:00,5/26/15 0:00,17724
5/26/15 0:00,5/27/15 0:00,13220
5/27/15 0:00,5/28/15 0:00,16797
5/28/15 0:00,5/29/15 0:00,20768
5/29/15 0:00,5/30/15 0:00,8147
5/30/15 0:00,5/31/15 0:00,10836
5/31/15 0:00,6/1/15 0:00,15600
6/1/15 0:00,6/2/15 0:00,9728
6/2/15 0:00,6/3/15 0:00,9476
6/3/15 0:00,6/4/15 0:00,10758.14382
6/4/15 0:00,6/5/15 0:00,6958.856183
6/5/15 0:00,6/6/15 0:00,9095
6/6/15 0:00,6/7/15 0:00,9604
6/7/15 0:00,6/8/15 0:00,10778
6/8/15 0:00,6/9/15 0:00,8211
6/9/15 0:00,6/10/15 0:00,6721
6/10/15 0:00,6/11/15 0:00,9125
6/11/15 0:00,6/12/15 0:00,9459
6/12/15 0:00,6/13/15 0:00,10860.65528
6/13/15 0:00,6/14/15 0:00,9280.34472
6/14/15 0:00,6/15/15 0:00,5258
6/15/15 0:00,6/16/15 0:00,7666
6/16/15 0:00,6/17/15 0:00,9810
6/17/15 0:00,6/18/15 0:00,7009
6/18/15 0:00,6/19/15 0:00,1893
6/19/15 0:00,6/20/15 0:00,12398
6/20/15 0:00,6/21/15 0:00,9656
6/21/15 0:00,6/22/15 0:00,7913
6/22/15 0:00,6/23/15 0:00,5605
6/23/15 0:00,6/24/15 0:00,3618
6/24/15 0:00,6/25/15 0:00,6906
6/25/15 0:00,6/26/15 0:00,6888
6/26/15 0:00,6/27/15 0:00,7845
6/27/15 0:00,6/28/15 0:00,16489
6/28/15 0:00,6/29/15 0:00,9823
6/29/15 0:00,6/30/15 0:00,6762
6/30/15 0:00,7/1/15 0:00,10562
7/1/15 0:00,7/2/15 0:00,8893
7/2/15 0:00,7/3/15 0:00,10856
7/3/15 0:00,7/4/15 0:00,25357
7/4/15 0:00,7/5/15 0:00,15137
7/5/15 0:00,7/6/15 0:00,13436
7/6/15 0:00,7/7/15 0:00,9151
7/7/15 0:00,7/8/15 0:00,11684
7/8/15 0:00,7/9/15 0:00,2461
7/9/15 0:00,7/10/15 0:00,8507
7/10/15 0:00,7/11/15 0:00,14030
7/11/15 0:00,7/12/15 0:00,17005
7/12/15 0:00,7/13/15 0:00,14568
7/13/15 0:00,7/14/15 0:00,5524
7/14/15 0:00,7/15/15 0:00,5867
7/15/15 0:00,7/16/15 0:00,8387
7/16/15 0:00,7/17/15 0:00,10281
7/17/15 0:00,7/18/15 0:00,3374
7/18/15 0:00,7/19/15 0:00,11176
7/19/15 0:00,7/20/15 0:00,6168
7/20/15 0:00,7/21/15 0:00,15440
7/21/15 0:00,7/22/15 0:00,10448
7/22/15 0:00,7/23/15 0:00,3987
7/23/15 0:00,7/24/15 0:00,4970
7/24/15 0:00,7/25/15 0:00,15494
7/25/15 0:00,7/26/15 0:00,9687
7/26/15 0:00,7/27/15 0:00,6873
7/27/15 0:00,7/28/15 0:00,8623
7/28/15 0:00,7/29/15 0:00,7008
7/29/15 0:00,7/30/15 0:00,6664
7/30/15 0:00,7/31/15 0:00,8797
7/31/15 0:00,8/1/15 0:00,10524
8/1/15 0:00,8/2/15 0:00,18070
8/2/15 0:00,8/3/15 0:00,6213
8/3/15 0:00,8/4/15 0:00,7021
8/4/15 0:00,8/5/15 0:00,9698
8/5/15 0:00,8/6/15 0:00,9279
8/6/15 0:00,8/7/15 0:00,7924
8/7/15 0:00,8/8/15 0:00,10421
8/8/15 0:00,8/9/15 0:00,9199
8/9/15 0:00,8/10/15 0:00,3979
8/10/15 0:00,8/11/15 0:00,14356
8/11/15 0:00,8/12/15 0:00,20170
8/12/15 0:00,8/13/15 0:00,15965
8/13/15 0:00,8/14/15 0:00,17929
8/14/15 0:00,8/15/15 0:00,25051
8/15/15 0:00,8/16/15 0:00,13887
8/16/15 0:00,8/17/15 0:00,15384
8/17/15 0:00,8/18/15 0:00,13881
8/18/15 0:00,8/19/15 0:00,12718
8/19/15 0:00,8/20/15 0:00,17876
8/20/15 0:00,8/21/15 0:00,13173
8/21/15 0:00,8/22/15 0:00,7379
8/22/15 0:00,8/23/15 0:00,16359
8/23/15 0:00,8/24/15 0:00,2766
8/24/15 0:00,8/25/15 0:00,7083
8/25/15 0:00,8/26/15 0:00,8274
8/26/15 0:00,8/27/15 0:00,6399
8/27/15 0:00,8/28/15 0:00,6602
8/28/15 0:00,8/29/15 0:00,14679
8/29/15 0:00,8/30/15 0:00,1863
8/30/15 0:00,8/31/15 0:00,12116
8/31/15 0:00,9/1/15 0:00,8584
9/1/15 0:00,9/2/15 0:00,8109
9/2/15 0:00,9/3/15 0:00,8640
