Start,Finish,Steps (count)
2/16/15 19:00,2/16/15 20:00,674
2/16/15 20:00,2/16/15 21:00,0
2/16/15 21:00,2/16/15 22:00,0
2/16/15 22:00,2/16/15 23:00,0
2/16/15 23:00,2/17/15 0:00,0
2/17/15 0:00,2/17/15 1:00,11
2/17/15 1:00,2/17/15 2:00,0
2/17/15 2:00,2/17/15 3:00,0
2/17/15 3:00,2/17/15 4:00,0
2/17/15 4:00,2/17/15 5:00,0
2/17/15 5:00,2/17/15 6:00,0
2/17/15 6:00,2/17/15 7:00,0
2/17/15 7:00,2/17/15 8:00,12
2/17/15 8:00,2/17/15 9:00,1119
2/17/15 9:00,2/17/15 10:00,967
2/17/15 10:00,2/17/15 11:00,0
2/17/15 11:00,2/17/15 12:00,579
2/17/15 12:00,2/17/15 13:00,260
2/17/15 13:00,2/17/15 14:00,0
2/17/15 14:00,2/17/15 15:00,0
2/17/15 15:00,2/17/15 16:00,0
2/17/15 16:00,2/17/15 17:00,0
2/17/15 17:00,2/17/15 18:00,0
2/17/15 18:00,2/17/15 19:00,787
2/17/15 19:00,2/17/15 20:00,266
2/17/15 20:00,2/17/15 21:00,1144
2/17/15 21:00,2/17/15 22:00,0
2/17/15 22:00,2/17/15 23:00,0
2/17/15 23:00,2/18/15 0:00,0
2/18/15 0:00,2/18/15 1:00,0
2/18/15 1:00,2/18/15 2:00,7
2/18/15 2:00,2/18/15 3:00,0
2/18/15 3:00,2/18/15 4:00,0
2/18/15 4:00,2/18/15 5:00,0
2/18/15 5:00,2/18/15 6:00,0
2/18/15 6:00,2/18/15 7:00,0
2/18/15 7:00,2/18/15 8:00,0
2/18/15 8:00,2/18/15 9:00,79
2/18/15 9:00,2/18/15 10:00,0
2/18/15 10:00,2/18/15 11:00,1263
2/18/15 11:00,2/18/15 12:00,202.989291
2/18/15 12:00,2/18/15 13:00,773.010709
2/18/15 13:00,2/18/15 14:00,0
2/18/15 14:00,2/18/15 15:00,0
2/18/15 15:00,2/18/15 16:00,0
2/18/15 16:00,2/18/15 17:00,27
2/18/15 17:00,2/18/15 18:00,286.3165423
2/18/15 18:00,2/18/15 19:00,2692.550388
2/18/15 19:00,2/18/15 20:00,249.1330693
2/18/15 20:00,2/18/15 21:00,0
2/18/15 21:00,2/18/15 22:00,0
2/18/15 22:00,2/18/15 23:00,0
2/18/15 23:00,2/19/15 0:00,0
2/19/15 0:00,2/19/15 1:00,0
2/19/15 1:00,2/19/15 2:00,0
2/19/15 2:00,2/19/15 3:00,0
2/19/15 3:00,2/19/15 4:00,0
2/19/15 4:00,2/19/15 5:00,0
2/19/15 5:00,2/19/15 6:00,0
2/19/15 6:00,2/19/15 7:00,0
2/19/15 7:00,2/19/15 8:00,15
2/19/15 8:00,2/19/15 9:00,1837
2/19/15 9:00,2/19/15 10:00,2525
2/19/15 10:00,2/19/15 11:00,69
2/19/15 11:00,2/19/15 12:00,76
2/19/15 12:00,2/19/15 13:00,0
2/19/15 13:00,2/19/15 14:00,0
2/19/15 14:00,2/19/15 15:00,0
2/19/15 15:00,2/19/15 16:00,1422
2/19/15 16:00,2/19/15 17:00,605
2/19/15 17:00,2/19/15 18:00,532
2/19/15 18:00,2/19/15 19:00,94
2/19/15 19:00,2/19/15 20:00,0
2/19/15 20:00,2/19/15 21:00,1209
2/19/15 21:00,2/19/15 22:00,1480
2/19/15 22:00,2/19/15 23:00,0
2/19/15 23:00,2/20/15 0:00,0
2/20/15 0:00,2/20/15 1:00,0
2/20/15 1:00,2/20/15 2:00,0
2/20/15 2:00,2/20/15 3:00,0
2/20/15 3:00,2/20/15 4:00,0
2/20/15 4:00,2/20/15 5:00,0
2/20/15 5:00,2/20/15 6:00,0
2/20/15 6:00,2/20/15 7:00,0
2/20/15 7:00,2/20/15 8:00,0
2/20/15 8:00,2/20/15 9:00,37
2/20/15 9:00,2/20/15 10:00,0
2/20/15 10:00,2/20/15 11:00,2446
2/20/15 11:00,2/20/15 12:00,48
2/20/15 12:00,2/20/15 13:00,610
2/20/15 13:00,2/20/15 14:00,2342
2/20/15 14:00,2/20/15 15:00,4823
2/20/15 15:00,2/20/15 16:00,2487
2/20/15 16:00,2/20/15 17:00,0
2/20/15 17:00,2/20/15 18:00,0
2/20/15 18:00,2/20/15 19:00,9
2/20/15 19:00,2/20/15 20:00,676
2/20/15 20:00,2/20/15 21:00,906.3491886
2/20/15 21:00,2/20/15 22:00,979.6508114
2/20/15 22:00,2/20/15 23:00,0
2/20/15 23:00,2/21/15 0:00,2183
2/21/15 0:00,2/21/15 1:00,79
2/21/15 1:00,2/21/15 2:00,0
2/21/15 2:00,2/21/15 3:00,0
2/21/15 3:00,2/21/15 4:00,0
2/21/15 4:00,2/21/15 5:00,0
2/21/15 5:00,2/21/15 6:00,0
2/21/15 6:00,2/21/15 7:00,0
2/21/15 7:00,2/21/15 8:00,44
2/21/15 8:00,2/21/15 9:00,0
2/21/15 9:00,2/21/15 10:00,45
2/21/15 10:00,2/21/15 11:00,24
2/21/15 11:00,2/21/15 12:00,26
